"t_index","date"
1,"2000-01-14"
2,"2000-01-21"
3,"2000-01-28"
4,"2000-02-18"
5,"2000-02-25"
6,"2000-03-03"
7,"2000-03-10"
8,"2000-03-17"
9,"2000-03-24"
10,"2000-03-31"
11,"2000-04-07"
12,"2000-04-14"
13,"2000-04-21"
14,"2000-04-28"
15,"2000-05-12"
16,"2000-05-19"
17,"2000-05-26"
18,"2000-06-02"
19,"2000-06-09"
20,"2000-06-16"
21,"2000-06-23"
22,"2000-06-30"
23,"2000-07-07"
24,"2000-07-14"
25,"2000-07-21"
26,"2000-07-28"
27,"2000-08-04"
28,"2000-08-11"
29,"2000-08-18"
30,"2000-08-25"
31,"2000-09-01"
32,"2000-09-08"
33,"2000-09-15"
34,"2000-09-22"
35,"2000-09-29"
36,"2000-10-13"
37,"2000-10-20"
38,"2000-10-27"
39,"2000-11-03"
40,"2000-11-10"
41,"2000-11-17"
42,"2000-11-24"
43,"2000-12-01"
44,"2000-12-08"
45,"2000-12-15"
46,"2000-12-22"
47,"2000-12-29"
48,"2001-01-05"
49,"2001-01-12"
50,"2001-01-19"
51,"2001-02-09"
52,"2001-02-16"
53,"2001-02-23"
54,"2001-03-02"
55,"2001-03-09"
56,"2001-03-16"
57,"2001-03-23"
58,"2001-03-30"
59,"2001-04-06"
60,"2001-04-13"
61,"2001-04-20"
62,"2001-04-27"
63,"2001-05-04"
64,"2001-05-11"
65,"2001-05-18"
66,"2001-05-25"
67,"2001-06-01"
68,"2001-06-08"
69,"2001-06-15"
70,"2001-06-22"
71,"2001-06-29"
72,"2001-07-06"
73,"2001-07-13"
74,"2001-07-20"
75,"2001-07-27"
76,"2001-08-03"
77,"2001-08-10"
78,"2001-08-17"
79,"2001-08-24"
80,"2001-08-31"
81,"2001-09-07"
82,"2001-09-14"
83,"2001-09-21"
84,"2001-09-28"
85,"2001-10-12"
86,"2001-10-19"
87,"2001-10-26"
88,"2001-11-02"
89,"2001-11-09"
90,"2001-11-16"
91,"2001-11-23"
92,"2001-11-30"
93,"2001-12-07"
94,"2001-12-14"
95,"2001-12-21"
96,"2001-12-28"
97,"2002-01-04"
98,"2002-01-11"
99,"2002-01-18"
100,"2002-01-25"
101,"2002-02-01"
102,"2002-02-08"
103,"2002-03-01"
104,"2002-03-08"
105,"2002-03-15"
106,"2002-03-22"
107,"2002-03-29"
108,"2002-04-05"
109,"2002-04-12"
110,"2002-04-19"
111,"2002-04-26"
112,"2002-05-03"
113,"2002-05-10"
114,"2002-05-17"
115,"2002-05-24"
116,"2002-05-31"
117,"2002-06-07"
118,"2002-06-14"
119,"2002-06-21"
120,"2002-06-28"
121,"2002-07-05"
122,"2002-07-12"
123,"2002-07-19"
124,"2002-07-26"
125,"2002-08-02"
126,"2002-08-09"
127,"2002-08-16"
128,"2002-08-23"
129,"2002-08-30"
130,"2002-09-06"
131,"2002-09-13"
132,"2002-09-20"
133,"2002-09-27"
134,"2002-10-11"
135,"2002-10-18"
136,"2002-10-25"
137,"2002-11-01"
138,"2002-11-08"
139,"2002-11-15"
140,"2002-11-22"
141,"2002-11-29"
142,"2002-12-06"
143,"2002-12-13"
144,"2002-12-20"
145,"2002-12-27"
146,"2003-01-03"
147,"2003-01-10"
148,"2003-01-17"
149,"2003-01-24"
150,"2003-01-31"
151,"2003-02-14"
152,"2003-02-21"
153,"2003-02-28"
154,"2003-03-07"
155,"2003-03-14"
156,"2003-03-21"
157,"2003-03-28"
158,"2003-04-04"
159,"2003-04-11"
160,"2003-04-18"
161,"2003-04-25"
162,"2003-05-02"
163,"2003-05-16"
164,"2003-05-23"
165,"2003-05-30"
166,"2003-06-06"
167,"2003-06-13"
168,"2003-06-20"
169,"2003-06-27"
170,"2003-07-04"
171,"2003-07-11"
172,"2003-07-18"
173,"2003-07-25"
174,"2003-08-01"
175,"2003-08-08"
176,"2003-08-15"
177,"2003-08-22"
178,"2003-08-29"
179,"2003-09-05"
180,"2003-09-12"
181,"2003-09-19"
182,"2003-09-26"
183,"2003-10-03"
184,"2003-10-10"
185,"2003-10-17"
186,"2003-10-24"
187,"2003-10-31"
188,"2003-11-07"
189,"2003-11-14"
190,"2003-11-21"
191,"2003-11-28"
192,"2003-12-05"
193,"2003-12-12"
194,"2003-12-19"
195,"2003-12-26"
196,"2004-01-02"
197,"2004-01-09"
198,"2004-01-16"
199,"2004-01-30"
200,"2004-02-06"
201,"2004-02-13"
202,"2004-02-20"
203,"2004-02-27"
204,"2004-03-05"
205,"2004-03-12"
206,"2004-03-19"
207,"2004-03-26"
208,"2004-04-02"
209,"2004-04-09"
210,"2004-04-16"
211,"2004-04-23"
212,"2004-04-30"
213,"2004-05-14"
214,"2004-05-21"
215,"2004-05-28"
216,"2004-06-04"
217,"2004-06-11"
218,"2004-06-18"
219,"2004-06-25"
220,"2004-07-02"
221,"2004-07-09"
222,"2004-07-16"
223,"2004-07-23"
224,"2004-07-30"
225,"2004-08-06"
226,"2004-08-13"
227,"2004-08-20"
228,"2004-08-27"
229,"2004-09-03"
230,"2004-09-10"
231,"2004-09-17"
232,"2004-09-24"
233,"2004-10-01"
234,"2004-10-08"
235,"2004-10-15"
236,"2004-10-22"
237,"2004-10-29"
238,"2004-11-05"
239,"2004-11-12"
240,"2004-11-19"
241,"2004-11-26"
242,"2004-12-03"
243,"2004-12-10"
244,"2004-12-17"
245,"2004-12-24"
246,"2004-12-31"
247,"2005-01-07"
248,"2005-01-14"
249,"2005-01-21"
250,"2005-01-28"
251,"2005-02-04"
252,"2005-02-18"
253,"2005-02-25"
254,"2005-03-04"
255,"2005-03-11"
256,"2005-03-18"
257,"2005-03-25"
258,"2005-04-01"
259,"2005-04-08"
260,"2005-04-15"
261,"2005-04-22"
262,"2005-04-29"
263,"2005-05-13"
264,"2005-05-20"
265,"2005-05-27"
266,"2005-06-03"
267,"2005-06-10"
268,"2005-06-17"
269,"2005-06-24"
270,"2005-07-01"
271,"2005-07-08"
272,"2005-07-15"
273,"2005-07-22"
274,"2005-07-29"
275,"2005-08-05"
276,"2005-08-12"
277,"2005-08-19"
278,"2005-08-26"
279,"2005-09-02"
280,"2005-09-09"
281,"2005-09-16"
282,"2005-09-23"
283,"2005-09-30"
284,"2005-10-14"
285,"2005-10-21"
286,"2005-10-28"
287,"2005-11-04"
288,"2005-11-11"
289,"2005-11-18"
290,"2005-11-25"
291,"2005-12-02"
292,"2005-12-09"
293,"2005-12-16"
294,"2005-12-23"
295,"2005-12-30"
296,"2006-01-06"
297,"2006-01-13"
298,"2006-01-20"
299,"2006-01-27"
300,"2006-02-10"
301,"2006-02-17"
302,"2006-02-24"
303,"2006-03-03"
304,"2006-03-10"
305,"2006-03-17"
306,"2006-03-24"
307,"2006-03-31"
308,"2006-04-07"
309,"2006-04-14"
310,"2006-04-21"
311,"2006-04-28"
312,"2006-05-12"
313,"2006-05-19"
314,"2006-05-26"
315,"2006-06-02"
316,"2006-06-09"
317,"2006-06-16"
318,"2006-06-23"
319,"2006-06-30"
320,"2006-07-07"
321,"2006-07-14"
322,"2006-07-21"
323,"2006-07-28"
324,"2006-08-04"
325,"2006-08-11"
326,"2006-08-18"
327,"2006-08-25"
328,"2006-09-01"
