date,交通运输,传媒,公用事业,农林牧渔,医药生物,商贸零售,国防军工,基础化工,家用电器,建筑材料,建筑装饰,房地产,有色金属,机械设备,汽车,煤炭,环保,电力设备,电子,石油石化,社会服务,纺织服饰,综合,美容护理,计算机,轻工制造,通信,钢铁,银行,非银金融,食品饮料
1999-12-30,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0
2000-01-04,1026.69,246.95,1024.38,1027.66,1026.71,1037.24,313.72,1025.03,1033.04,1022.59,1030.69,1032.15,1029.82,276.66,981.88,1026.58,1022.6,1024.7,1043.81,1023.34,1023.37,1024.9,1029.81,1025.26,1026.13,1025.14,1078.71,1022.21,1043.67,445.32,1024.64
2000-01-05,1031.12,249.56,1028.22,1028.87,1029.57,1049.97,312.95,1034.06,1022.01,1026.04,1029.37,1034.17,1032.6,278.46,984.07,1024.39,1026.9,1021.11,1047.01,1035.75,1031.92,1029.68,1047.65,1016.83,1002.71,1032.21,1060.54,1022.25,1030.93,441.82,1029.26
2000-01-06,1066.99,261.12,1070.19,1065.67,1067.96,1087.33,320.52,1081.01,1080.93,1058.6,1068.99,1069.96,1071.66,289.16,1019.39,1067.1,1069.32,1055.51,1095.48,1091.2,1068.37,1058.86,1083.61,1045.77,1051.14,1069.82,1114.07,1056.28,1068.45,457.14,1068.67
2000-01-07,1109.21,268.18,1104.79,1106.19,1108.28,1142.12,338.4,1114.65,1147.08,1092.81,1107.49,1107.52,1116.23,299.87,1051.07,1098.21,1099.73,1089.32,1128.03,1111.47,1103.45,1101.92,1132.7,1072.1,1071.55,1107.35,1143.5,1102.06,1109.98,473.01,1110.33
2000-01-10,1126.38,274.29,1126.27,1130.06,1129.94,1174.94,342.23,1128.31,1163.55,1115.89,1123.13,1133.78,1178.55,306.25,1069.38,1118.49,1128.96,1112.08,1144.21,1103.32,1128.08,1133.9,1164.68,1109.7,1084.85,1126.33,1160.24,1107.3,1138.34,501.68,1128.06
2000-01-11,1078.71,270.32,1076.1,1104.18,1086.76,1134.88,333.81,1074.06,1095.61,1069.33,1081.36,1083.97,1115.6,293.65,1031.93,1083.11,1098.3,1066.59,1102.85,1062.66,1077.84,1078.49,1115.26,1042.45,1031.73,1094.73,1089.27,1057.53,1079.83,470.36,1100.37
2000-01-12,1050.72,265.84,1045.81,1080.4,1053.34,1108.82,325.47,1042.69,1064.93,1057.03,1057.06,1058.68,1083.88,286.9,1026.43,1072.2,1053.6,1041.71,1059.7,1039.03,1042.32,1047.47,1088.57,1010.66,999.9,1059.84,1049.22,1032.39,1036.19,454.16,1077.06
2000-01-13,1041.98,264.07,1039.79,1066.57,1048.31,1083.83,319.4,1034.76,1051.97,1048.48,1038.77,1051.14,1074.29,286.54,1011.52,1062.32,1044.12,1034.3,1052.12,1038.39,1035.9,1038.99,1075.84,999.15,997.25,1045.29,1042.94,1045.07,1029.35,447.66,1065.91
2000-01-14,1030.26,260.65,1033.03,1062.16,1036.22,1081.99,309.99,1022.44,1035.04,1038.07,1027.91,1038.64,1060.16,283.15,1010.07,1055.85,1035.09,1033.43,1037.85,1032.73,1030.25,1026.18,1063.67,975.78,985.19,1042.81,1021.29,1027.91,1009.79,442.5,1050.7
2000-01-17,1050.78,269.14,1052.99,1085.92,1057.05,1116.49,311.36,1038.64,1056.72,1062.34,1043.84,1057.72,1088.92,287.97,1017.8,1062.15,1062.03,1036.6,1056.25,1046.57,1049.38,1042.91,1087.63,993.22,997.09,1055.99,1036.29,1039.32,1020.1,449.58,1067.68
2000-01-18,1048.31,271.06,1063.16,1076.92,1055.75,1103.0,313.25,1041.23,1047.28,1058.89,1033.7,1053.7,1083.01,289.0,1016.15,1066.04,1067.72,1042.9,1053.13,1054.54,1045.66,1043.68,1081.08,996.53,1001.06,1059.99,1031.5,1040.98,1001.83,448.93,1060.86
2000-01-19,1057.63,279.44,1068.01,1110.19,1071.83,1113.65,321.09,1051.28,1059.81,1069.85,1041.33,1062.14,1089.33,291.57,1028.74,1084.55,1080.48,1052.9,1068.37,1061.28,1052.51,1057.25,1099.02,1008.86,1031.7,1066.55,1057.52,1067.94,1005.44,453.33,1080.1
2000-01-20,1069.98,290.14,1079.78,1149.22,1093.7,1144.86,324.47,1064.11,1076.99,1086.29,1052.32,1082.54,1119.08,295.54,1044.56,1132.11,1104.94,1072.43,1093.45,1071.68,1077.26,1070.17,1119.25,1004.59,1050.31,1088.12,1081.9,1068.96,1010.53,460.29,1101.26
2000-01-21,1071.66,297.87,1082.78,1148.63,1088.86,1150.31,323.8,1056.18,1082.81,1068.09,1060.47,1080.92,1111.1,299.36,1033.1,1127.99,1097.58,1075.3,1109.01,1058.25,1074.77,1066.12,1129.79,1012.31,1071.36,1081.67,1092.6,1055.93,1013.78,461.43,1095.67
2000-01-24,1079.28,307.65,1101.43,1172.99,1113.7,1181.01,326.27,1054.27,1095.5,1072.36,1065.55,1092.06,1126.48,302.94,1036.27,1154.95,1104.85,1097.05,1138.13,1080.38,1093.15,1095.26,1144.44,1002.58,1103.83,1085.43,1115.98,1069.07,995.26,456.89,1114.25
2000-01-25,1077.57,311.24,1094.52,1196.05,1109.4,1174.23,325.06,1060.84,1099.64,1071.72,1076.02,1093.5,1131.02,300.22,1049.32,1156.0,1107.79,1088.89,1143.11,1080.26,1097.23,1093.56,1137.18,1009.23,1078.34,1083.77,1079.16,1079.05,1009.25,457.98,1106.62
2000-01-26,1083.72,318.78,1097.6,1200.14,1113.5,1177.57,322.55,1061.37,1096.63,1079.44,1066.96,1102.74,1134.4,298.33,1047.13,1141.58,1113.01,1083.43,1139.56,1102.91,1099.85,1097.7,1140.3,1004.01,1089.08,1088.15,1067.78,1090.39,1003.73,468.44,1119.97
2000-01-27,1087.26,330.8,1115.67,1210.27,1134.28,1203.78,323.62,1066.38,1109.53,1081.54,1091.41,1119.8,1149.17,301.34,1044.44,1171.86,1124.05,1115.32,1199.35,1107.56,1121.62,1098.8,1184.59,987.52,1191.09,1104.65,1139.84,1077.36,1015.63,468.7,1122.66
2000-01-28,1100.44,347.7,1135.44,1216.79,1150.49,1247.55,331.51,1082.05,1130.98,1091.32,1106.61,1146.88,1168.21,304.53,1057.9,1207.84,1160.03,1127.27,1234.92,1108.65,1166.6,1119.34,1220.55,998.78,1226.68,1120.25,1161.8,1083.06,1045.95,472.09,1145.8
2000-02-14,1201.02,375.0,1241.66,1328.78,1252.47,1366.71,361.11,1177.35,1238.34,1186.61,1207.05,1250.26,1274.65,332.85,1148.04,1311.77,1263.33,1229.65,1352.56,1205.68,1278.0,1216.7,1334.41,1092.95,1349.41,1225.67,1278.01,1175.3,1145.24,515.44,1244.34
2000-02-15,1208.12,378.16,1268.06,1356.6,1239.96,1409.16,345.05,1158.1,1222.6,1191.34,1245.02,1248.13,1273.18,333.5,1111.95,1347.65,1283.25,1221.77,1385.69,1198.76,1298.58,1196.63,1378.31,1044.92,1417.08,1220.77,1344.73,1131.53,1089.05,504.96,1219.03
2000-02-16,1244.17,393.21,1293.63,1404.39,1237.01,1482.1,332.91,1173.22,1210.59,1214.78,1300.35,1281.06,1282.95,337.43,1109.37,1384.24,1297.57,1226.99,1427.97,1218.24,1325.12,1200.84,1432.5,1084.41,1494.31,1233.59,1441.33,1128.89,1059.44,508.62,1222.73
2000-02-17,1253.45,380.16,1238.69,1369.7,1177.34,1403.74,327.4,1144.86,1161.76,1205.48,1326.56,1250.23,1209.91,331.79,1100.95,1337.02,1256.92,1166.67,1325.86,1196.37,1257.92,1183.78,1365.0,1043.85,1355.61,1218.85,1326.81,1139.81,1054.12,492.38,1172.03
